     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 21:16:11  -239254.830921       0.6455       0.0000       0.1000       1.0000
Sella   1 21:29:55  -239254.965985       0.3227       0.0000       0.1000       1.0397
Sella   2 21:31:55  -239255.045439       0.2091       0.0000       0.1000       1.0399
Sella   3 21:33:55  -239255.089664       0.1260       0.0000       0.1150       1.0093
Sella   4 21:35:50  -239255.112886       0.1094       0.0000       0.1150       0.9399
Sella   5 21:37:44  -239255.116946       0.0788       0.0000       0.1150       0.6098
Sella   6 21:39:39  -239255.120211       0.0561       0.0000       0.1150       1.2665
Sella   7 21:41:34  -239255.122160       0.0483       0.0000       0.1150       0.9641
