      Step     Time          Energy          fmax
FIRE:    0 01:26:51   -11865.080332         1.946558
FIRE:    1 01:27:39   -11865.148477         1.293803
FIRE:    2 01:28:24   -11865.197628         0.538800
FIRE:    3 01:29:13   -11865.210077         0.980604
FIRE:    4 01:29:57   -11865.217333         0.850201
FIRE:    5 01:30:45   -11865.228256         0.611433
FIRE:    6 01:31:32   -11865.238010         0.478640
FIRE:    7 01:32:19   -11865.243781         0.414478
FIRE:    8 01:33:05   -11865.246770         0.377400
FIRE:    9 01:33:51   -11865.250169         0.536122
FIRE:   10 01:34:38   -11865.255904         0.598222
FIRE:   11 01:35:24   -11865.264864         0.542268
FIRE:   12 01:36:10   -11865.275872         0.372395
FIRE:   13 01:36:56   -11865.287532         0.360966
FIRE:   14 01:37:43   -11865.299921         0.360793
FIRE:   15 01:38:29   -11865.314550         0.361438
FIRE:   16 01:39:15   -11865.333950         0.359676
FIRE:   17 01:40:02   -11865.360747         0.368948
FIRE:   18 01:40:49   -11865.398413         0.404469
FIRE:   19 01:41:34   -11865.456395         0.447163
FIRE:   20 01:42:21   -11865.546086         0.474377
FIRE:   21 01:43:05   -11865.671069         0.418192
FIRE:   22 01:43:51   -11865.807069         0.509226
FIRE:   23 01:44:40   -11865.927052         0.700591
FIRE:   24 01:45:27   -11866.028605         0.423595
FIRE:   25 01:46:12   -11866.046565         0.372362
FIRE:   26 01:46:58   -11866.058929         0.326968
FIRE:   27 01:47:44   -11866.073208         0.313678
FIRE:   28 01:48:32   -11866.085698         0.304116
FIRE:   29 01:49:20   -11866.086420         0.259396
FIRE:   30 01:50:08   -11866.086918         0.257887
FIRE:   31 01:50:55   -11866.087011         0.293201
FIRE:   32 01:51:40   -11866.086686         0.239550
FIRE:   33 01:52:26   -11866.085798         0.184818
